Date,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%)
2017-01-01,105866,89861,59234,30627,51.7
2017-01-02,105866,92573,72901,19672,27.0
2017-01-03,105866,94223,75471,18752,24.8
2017-01-04,105866,92353,75778,16575,21.9
2017-01-05,105866,92474,76304,16170,21.2
2017-01-06,105866,92841,74060,18781,25.4
2017-01-07,105866,90470,64879,25591,39.4
2017-01-08,105866,90644,59058,31586,53.5
2017-01-09,105866,92252,75090,17162,22.9
2017-01-10,105866,93039,76690,16349,21.3
2017-01-11,105866,94862,78898,15964,20.2
2017-01-12,105866,94338,78403,15935,20.3
2017-01-13,105866,94912,80079,14833,18.5
2017-01-14,105866,92828,69894,22934,32.8
2017-01-15,105866,91004,66021,24983,37.8
2017-01-16,105866,93313,80790,12523,15.5
2017-01-17,105866,94280,81681,12599,15.4
2017-01-18,106238,95091,79959,15132,18.9
2017-01-19,106238,94146,80171,13975,17.4
2017-01-20,106238,94284,81765,12519,15.3
2017-01-21,106238,90927,71225,19702,27.7
2017-01-22,106238,91965,66749,25216,37.8
2017-01-23,106238,95443,83657,11786,14.1
2017-01-24,106238,96526,82884,13642,16.5
2017-01-25,106238,95823,81686,14137,17.3
2017-01-26,106238,95631,78670,16961,21.6
2017-01-27,106238,91078,62908,28170,44.8
2017-01-28,106238,89072,56442,32630,57.8
2017-01-29,106238,89100,57667,31433,54.5
2017-01-30,106238,91686,62634,29052,46.4
2017-01-31,106238,94937,77034,17903,23.2
2017-02-01,107098,95220,80173,15047,18.8
2017-02-02,107098,96341,80243,16098,20.1
2017-02-03,107098,96289,78232,18057,23.1
2017-02-04,107098,94172,67533,26639,39.4
2017-02-05,107098,94991,62577,32414,51.8
2017-02-06,107098,96366,78251,18115,23.1
2017-02-07,107098,97305,80163,17142,21.4
2017-02-08,107098,96980,79274,17706,22.3
2017-02-09,107098,97002,80002,17000,21.2
2017-02-10,107098,95916,81268,14648,18.0
2017-02-11,107098,92955,69363,23592,34.0
2017-02-12,107098,93782,64047,29735,46.4
2017-02-13,107098,96343,79050,17293,21.9
2017-02-14,107098,96561,78279,18282,23.4
2017-02-15,107098,96403,77770,18633,24.0
2017-02-16,107098,96295,75604,20691,27.4
2017-02-17,107098,96207,74358,21849,29.4
2017-02-18,107098,90042,65574,24468,37.3
2017-02-19,107098,89643,61553,28090,45.6
2017-02-20,107098,93928,76063,17865,23.5
2017-02-21,107098,93347,77149,16198,21.0
