,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),Date
2781,105866,89861,59234,30627,51.7,2017-01-01
2780,105866,92573,72901,19672,27.0,2017-01-02
2779,105866,94223,75471,18752,24.8,2017-01-03
2778,105866,92353,75778,16575,21.9,2017-01-04
2777,105866,92474,76304,16170,21.2,2017-01-05
2776,105866,92841,74060,18781,25.4,2017-01-06
2775,105866,90470,64879,25591,39.4,2017-01-07
2774,105866,90644,59058,31586,53.5,2017-01-08
2773,105866,92252,75090,17162,22.9,2017-01-09
2772,105866,93039,76690,16349,21.3,2017-01-10
2771,105866,94862,78898,15964,20.2,2017-01-11
2770,105866,94338,78403,15935,20.3,2017-01-12
2769,105866,94912,80079,14833,18.5,2017-01-13
2768,105866,92828,69894,22934,32.8,2017-01-14
2767,105866,91004,66021,24983,37.8,2017-01-15
2766,105866,93313,80790,12523,15.5,2017-01-16
2765,105866,94280,81681,12599,15.4,2017-01-17
2764,106238,95091,79959,15132,18.9,2017-01-18
2763,106238,94146,80171,13975,17.4,2017-01-19
2762,106238,94284,81765,12519,15.3,2017-01-20
2761,106238,90927,71225,19702,27.7,2017-01-21
2760,106238,91965,66749,25216,37.8,2017-01-22
2759,106238,95443,83657,11786,14.1,2017-01-23
2758,106238,96526,82884,13642,16.5,2017-01-24
2757,106238,95823,81686,14137,17.3,2017-01-25
2756,106238,95631,78670,16961,21.6,2017-01-26
2755,106238,91078,62908,28170,44.8,2017-01-27
2754,106238,89072,56442,32630,57.8,2017-01-28
2753,106238,89100,57667,31433,54.5,2017-01-29
2752,106238,91686,62634,29052,46.4,2017-01-30
2751,106238,94937,77034,17903,23.2,2017-01-31
2750,107098,95220,80173,15047,18.8,2017-02-01
2749,107098,96341,80243,16098,20.1,2017-02-02
2748,107098,96289,78232,18057,23.1,2017-02-03
2747,107098,94172,67533,26639,39.4,2017-02-04
2746,107098,94991,62577,32414,51.8,2017-02-05
2745,107098,96366,78251,18115,23.1,2017-02-06
2744,107098,97305,80163,17142,21.4,2017-02-07
2743,107098,96980,79274,17706,22.3,2017-02-08
2742,107098,97002,80002,17000,21.2,2017-02-09
2741,107098,95916,81268,14648,18.0,2017-02-10
2740,107098,92955,69363,23592,34.0,2017-02-11
2739,107098,93782,64047,29735,46.4,2017-02-12
2738,107098,96343,79050,17293,21.9,2017-02-13
2737,107098,96561,78279,18282,23.4,2017-02-14
2736,107098,96403,77770,18633,24.0,2017-02-15
2735,107098,96295,75604,20691,27.4,2017-02-16
2734,107098,96207,74358,21849,29.4,2017-02-17
2733,107098,90042,65574,24468,37.3,2017-02-18
2732,107098,89643,61553,28090,45.6,2017-02-19
2731,107098,93928,76063,17865,23.5,2017-02-20
2730,107098,93347,77149,16198,21.0,2017-02-21
2729,107098,93689,78523,15166,19.3,2017-02-22
2728,107098,93526,75909,17617,23.2,2017-02-23
2727,107098,92732,75970,16762,22.1,2017-02-24
2726,107098,91811,64596,27215,42.1,2017-02-25
2725,107098,91375,60444,30931,51.2,2017-02-26
2724,107098,93171,73564,19607,26.7,2017-02-27
2723,107098,92437,73617,18820,25.6,2017-02-28
2722,107098,92104,64523,27581,42.7,2017-03-01
2721,107098,92979,75921,17058,22.5,2017-03-02
2720,107098,93749,74262,19487,26.2,2017-03-03
2719,107098,91420,62651,28769,45.9,2017-03-04
2718,107098,91770,58780,32990,56.1,2017-03-05
2717,107098,94148,73396,20752,28.3,2017-03-06
2716,107098,93840,76756,17084,22.3,2017-03-07
2715,107703,92902,76634,16268,21.2,2017-03-08
2714,107703,92807,74556,18251,24.5,2017-03-09
2713,107703,92047,73349,18698,25.5,2017-03-10
2712,107703,90228,62468,27760,44.4,2017-03-11
2711,107703,91063,57589,33474,58.1,2017-03-12
2710,107703,93327,70385,22942,32.6,2017-03-13
2709,107703,91119,70674,20445,28.9,2017-03-14
2708,107703,90591,71134,19457,27.4,2017-03-15
2707,107703,91482,70775,20707,29.3,2017-03-16
2706,108601,91839,70322,21517,30.6,2017-03-17
2705,108601,90013,61921,28092,45.4,2017-03-18
2704,108601,87910,56890,31020,54.5,2017-03-19
2703,108601,87922,69809,18113,25.9,2017-03-20
2702,108601,87503,68210,19293,28.3,2017-03-21
2701,108601,87657,70170,17487,24.9,2017-03-22
2700,108601,87672,69549,18123,26.1,2017-03-23
2699,108601,88072,69257,18815,27.2,2017-03-24
2698,108601,86606,61395,25211,41.1,2017-03-25
2697,108601,87877,57467,30410,52.9,2017-03-26
2696,108601,88323,70135,18188,25.9,2017-03-27
2695,109493,86241,70060,16181,23.1,2017-03-28
2694,109493,87117,69891,17226,24.6,2017-03-29
2693,109493,87994,67807,20187,29.8,2017-03-30
2692,109493,88725,68976,19749,28.6,2017-03-31
2691,110502,82935,59219,23716,40.0,2017-04-01
2690,110502,85311,56420,28891,51.2,2017-04-02
2689,110502,84021,65686,18335,27.9,2017-04-03
2688,110502,86064,65973,20091,30.5,2017-04-04
2687,110502,86046,68200,17846,26.2,2017-04-05
2686,110502,87916,69129,18787,27.2,2017-04-06
2685,110502,87253,65396,21857,33.4,2017-04-07
2684,110502,86383,56759,29624,52.2,2017-04-08
2683,110502,84126,54617,29509,54.0,2017-04-09
2682,110502,87013,63993,23020,36.0,2017-04-10
2681,110502,87343,65921,21422,32.5,2017-04-11
2680,110502,85970,64262,21708,33.8,2017-04-12
2679,110502,84544,64430,20114,31.2,2017-04-13
2678,110502,85529,64493,21036,32.6,2017-04-14
2677,110671,83099,55961,27138,48.5,2017-04-15
2676,110671,82735,54282,28453,52.4,2017-04-16
2675,110671,82855,66355,16500,24.9,2017-04-17
2674,110671,83724,65101,18623,28.6,2017-04-18
2673,110671,83051,62985,20066,31.9,2017-04-19
2672,110671,83682,65335,18347,28.1,2017-04-20
2671,110671,84048,63284,20764,32.8,2017-04-21
2670,110671,83523,56424,27099,48.0,2017-04-22
2669,110671,81850,54420,27430,50.4,2017-04-23
2668,110671,82873,63820,19053,29.9,2017-04-24
2667,110671,81209,64533,16676,25.8,2017-04-25
2666,110671,80871,63329,17542,27.7,2017-04-26
2665,110671,79714,63751,15963,25.0,2017-04-27
2664,110671,80659,62861,17798,28.3,2017-04-28
2663,110671,81130,55507,25623,46.2,2017-04-29
2662,110671,80635,54163,26472,48.9,2017-04-30
2661,110671,82501,56790,25711,45.3,2017-05-01
2660,110671,82331,62100,20231,32.6,2017-05-02
2659,110671,82942,58991,23951,40.6,2017-05-03
2658,110671,83056,60366,22690,37.6,2017-05-04
2657,110671,83028,56195,26833,47.7,2017-05-05
2656,110671,79430,53271,26159,49.1,2017-05-06
2655,111168,80272,53449,26823,50.2,2017-05-07
2654,111168,77697,63803,13894,21.8,2017-05-08
2653,111168,79013,61163,17850,29.2,2017-05-09
2652,111168,80821,65137,15684,24.1,2017-05-10
2651,111168,80138,65315,14823,22.7,2017-05-11
2650,111168,80398,66500,13898,20.9,2017-05-12
2649,111168,78407,57892,20515,35.4,2017-05-13
2648,111168,77523,54246,23277,42.9,2017-05-14
2647,111168,81620,64452,17168,26.6,2017-05-15
2646,111168,80844,64434,16410,25.5,2017-05-16
2645,111168,79301,65506,13795,21.1,2017-05-17
2644,111168,80633,66176,14457,21.8,2017-05-18
2643,111168,80693,66619,14074,21.1,2017-05-19
2642,111292,80072,58028,22044,38.0,2017-05-20
2641,111292,81065,55580,25485,45.9,2017-05-21
2640,111292,81274,67482,13792,20.4,2017-05-22
2639,111292,82751,67772,14979,22.1,2017-05-23
2638,111292,83178,67810,15368,22.7,2017-05-24
2637,111292,81835,67007,14828,22.1,2017-05-25
2636,111292,83009,64402,18607,28.9,2017-05-26
2635,111292,81212,56633,24579,43.4,2017-05-27
2634,111292,82527,55277,27250,49.3,2017-05-28
2633,111292,83014,69854,13160,18.8,2017-05-29
2632,111292,82497,69887,12610,18.0,2017-05-30
2631,111292,81665,69234,12431,18.0,2017-05-31
2630,111292,81837,68853,12984,18.9,2017-06-01
2629,111292,82221,65633,16588,25.3,2017-06-02
2628,111292,76968,56898,20070,35.3,2017-06-03
2627,111292,77623,54654,22969,42.0,2017-06-04
2626,111292,81483,65530,15953,24.3,2017-06-05
2625,111292,81083,61087,19996,32.7,2017-06-06
2624,111292,82683,67008,15675,23.4,2017-06-07
2623,111292,81647,66753,14894,22.3,2017-06-08
2622,111292,83707,67241,16466,24.5,2017-06-09
2621,111292,82165,58759,23406,39.8,2017-06-10
2620,111292,83161,55233,27928,50.6,2017-06-11
2619,111292,83421,66895,16526,24.7,2017-06-12
2618,112316,84907,68006,16901,24.9,2017-06-13
2617,112316,85205,68179,17026,25.0,2017-06-14
2616,112316,84747,70246,14501,20.6,2017-06-15
2615,112316,86941,71332,15609,21.9,2017-06-16
2614,112316,83591,61261,22330,36.5,2017-06-17
2613,112316,81885,57785,24100,41.7,2017-06-18
2612,111729,85006,72473,12533,17.3,2017-06-19
2611,111729,85132,73961,11171,15.1,2017-06-20
2610,112779,86441,73408,13033,17.8,2017-06-21
2609,112779,86466,73196,13270,18.1,2017-06-22
2608,112779,86724,75077,11647,15.5,2017-06-23
2607,113705,83428,63296,20132,31.8,2017-06-24
2606,113705,85323,58182,27141,46.6,2017-06-25
2605,113705,87820,73186,14634,20.0,2017-06-26
2604,113705,87531,73199,14332,19.6,2017-06-27
2603,113705,87698,74442,13256,17.8,2017-06-28
2602,113705,87585,74958,12627,16.8,2017-06-29
2601,113705,87888,75413,12475,16.5,2017-06-30
2600,113305,86424,64637,21787,33.7,2017-07-01
2599,113305,87819,61902,25917,41.9,2017-07-02
2598,113305,92113,77051,15062,19.5,2017-07-03
2597,113305,91290,78325,12965,16.6,2017-07-04
2596,113305,89667,78494,11173,14.2,2017-07-05
2595,113305,91939,80673,11266,14.0,2017-07-06
2594,113305,93549,78640,14909,19.0,2017-07-07
2593,113305,89545,68187,21358,31.3,2017-07-08
2592,113305,88021,64400,23621,36.7,2017-07-09
2591,113305,92732,78441,14291,18.2,2017-07-10
2590,113305,92247,79685,12562,15.8,2017-07-11
2589,113305,91477,80087,11390,14.2,2017-07-12
2588,113305,92621,81830,10791,13.2,2017-07-13
2587,113305,93437,83214,10223,12.3,2017-07-14
2586,113305,89847,69532,20315,29.2,2017-07-15
2585,113305,89317,65320,23997,36.7,2017-07-16
2584,113305,93900,81042,12858,15.9,2017-07-17
2583,113351,94706,80451,14255,17.7,2017-07-18
2582,113351,94157,82682,11475,13.9,2017-07-19
2581,113351,94712,84558,10154,12.0,2017-07-20
2580,113351,94987,84586,10401,12.3,2017-07-21
2579,113351,90733,75408,15325,20.3,2017-07-22
2578,113351,89993,68319,21674,31.7,2017-07-23
2577,113351,94461,82052,12409,15.1,2017-07-24
2576,113351,94780,83321,11459,13.8,2017-07-25
2575,113351,95163,80610,14553,18.1,2017-07-26
2574,113351,95140,79180,15960,20.2,2017-07-27
2573,113351,95482,78700,16782,21.3,2017-07-28
2572,113351,90645,66214,24431,36.9,2017-07-29
2571,113351,91077,63971,27106,42.4,2017-07-30
2570,113351,93121,69467,23654,34.1,2017-07-31
2569,113351,93092,71974,21118,29.3,2017-08-01
2568,113351,93550,73103,20447,28.0,2017-08-02
2567,113351,93031,74343,18688,25.1,2017-08-03
2566,113351,91769,76990,14779,19.2,2017-08-04
2565,113351,88265,72300,15965,22.1,2017-08-05
2564,113351,88398,70906,17492,24.7,2017-08-06
2563,113351,95125,84489,10636,12.6,2017-08-07
2562,113351,94804,83775,11029,13.2,2017-08-08
2561,113351,93714,80418,13296,16.5,2017-08-09
2560,113351,94592,79807,14785,18.5,2017-08-10
2559,113351,95564,80629,14935,18.5,2017-08-11
2558,114206,91506,69570,21936,31.5,2017-08-12
2557,114206,90404,61500,28904,47.0,2017-08-13
2556,114206,94832,72855,21977,30.2,2017-08-14
2555,114206,93361,67072,26289,39.2,2017-08-15
2554,114206,95468,75902,19566,25.8,2017-08-16
2553,114206,95799,77288,18511,24.0,2017-08-17
2552,114206,95321,77648,17673,22.8,2017-08-18
2551,114206,93359,67973,25386,37.3,2017-08-19
2550,114206,91390,62497,28893,46.2,2017-08-20
2549,114206,94942,79104,15838,20.0,2017-08-21
2548,114206,94813,80879,13934,17.2,2017-08-22
2547,114206,94851,83840,11011,13.1,2017-08-23
2546,114206,95345,83432,11913,14.3,2017-08-24
2545,114206,94808,79071,15737,19.9,2017-08-25
2544,114206,91577,63547,28030,44.1,2017-08-26
2543,114206,91074,59950,31124,51.9,2017-08-27
2542,114206,95752,75454,20298,26.9,2017-08-28
2541,114206,96582,71234,25348,35.6,2017-08-29
2540,114206,96569,68797,27772,40.4,2017-08-30
2539,114206,95847,70229,25618,36.5,2017-08-31
2538,114206,94100,70931,23169,32.7,2017-09-01
2537,114206,91533,61591,29942,48.6,2017-09-02
2536,114206,91678,58814,32864,55.9,2017-09-03
2535,114206,92846,72688,20158,27.7,2017-09-04
2534,114206,94499,71944,22555,31.4,2017-09-05
2533,114206,95006,71880,23126,32.2,2017-09-06
2532,114206,94511,71699,22812,31.8,2017-09-07
2531,114206,93909,73038,20871,28.6,2017-09-08
2530,114206,89779,64087,25692,40.1,2017-09-09
2529,114206,88745,59509,29236,49.1,2017-09-10
2528,114206,92651,70946,21705,30.6,2017-09-11
2527,114206,92313,72229,20084,27.8,2017-09-12
2526,114206,93014,70373,22641,32.2,2017-09-13
2525,114206,94191,71099,23092,32.5,2017-09-14
2524,114206,92279,69521,22758,32.7,2017-09-15
2523,114206,88214,60602,27612,45.6,2017-09-16
2522,114206,87659,58088,29571,50.9,2017-09-17
2521,114206,92551,71299,21252,29.8,2017-09-18
2520,114206,92665,73115,19550,26.7,2017-09-19
2519,114206,92456,68979,23477,34.0,2017-09-20
2518,114206,91777,69362,22415,32.3,2017-09-21
2517,114206,91816,69987,21829,31.2,2017-09-22
2516,114206,89309,61791,27518,44.5,2017-09-23
2515,114206,89652,59195,30457,51.5,2017-09-24
2514,114206,91820,72798,19022,26.1,2017-09-25
2513,114206,92144,72947,19197,26.3,2017-09-26
2512,114206,90947,70978,19969,28.1,2017-09-27
2511,114206,91397,68330,23067,33.8,2017-09-28
2510,115249,93193,64707,28486,44.0,2017-09-29
2509,115249,90193,58351,31842,54.6,2017-09-30
2508,115249,89766,56530,33236,58.8,2017-10-01
2507,115249,90276,55447,34829,62.8,2017-10-02
2506,115249,89682,48934,40748,83.3,2017-10-03
2505,115249,90044,46004,44040,95.7,2017-10-04
2504,115249,86206,48919,37287,76.2,2017-10-05
2503,115249,85300,52312,32988,63.1,2017-10-06
2502,115249,84897,54716,30181,55.2,2017-10-07
2501,115249,84897,56165,28732,51.2,2017-10-08
2500,115249,88352,62781,25571,40.7,2017-10-09
2499,115249,88736,70113,18623,26.6,2017-10-10
2498,115249,89078,68423,20655,30.2,2017-10-11
2497,115249,89422,67158,22264,33.2,2017-10-12
2496,115249,87471,66400,21071,31.7,2017-10-13
2495,115249,85314,58848,26466,45.0,2017-10-14
2494,115249,83035,56499,26536,47.0,2017-10-15
2493,115900,84250,67783,16467,24.3,2017-10-16
2492,115900,85546,68021,17525,25.8,2017-10-17
2491,115900,86343,67701,18642,27.5,2017-10-18
2490,115900,86417,68224,18193,26.7,2017-10-19
2489,115900,87499,66981,20518,30.6,2017-10-20
2488,115900,86319,58896,27423,46.6,2017-10-21
2487,115900,88162,56047,32115,57.3,2017-10-22
2486,115900,87936,67501,20435,30.3,2017-10-23
2485,115900,86397,67971,18426,27.1,2017-10-24
2484,115900,87495,67111,20384,30.4,2017-10-25
2483,115900,85521,67751,17770,26.2,2017-10-26
2482,115900,86125,66589,19536,29.3,2017-10-27
2481,115900,83421,58510,24911,42.6,2017-10-28
2480,115900,84929,56295,28634,50.9,2017-10-29
2479,115900,87521,68265,19256,28.2,2017-10-30
2478,115900,87081,67675,19406,28.7,2017-10-31
2477,115900,85425,66262,19163,28.9,2017-11-01
2476,115900,86093,67063,19030,28.4,2017-11-02
2475,115900,85673,66731,18942,28.4,2017-11-03
2474,115900,83556,58933,24623,41.8,2017-11-04
2473,115900,85517,56809,28708,50.5,2017-11-05
2472,115900,88088,68148,19940,29.3,2017-11-06
2471,115900,87229,67851,19378,28.6,2017-11-07
2470,115900,88117,66862,21255,31.8,2017-11-08
2469,115900,88234,67500,20734,30.7,2017-11-09
2468,115900,85972,68299,17673,25.9,2017-11-10
2467,115900,85993,59621,26372,44.2,2017-11-11
2466,115900,87050,57618,29432,51.1,2017-11-12
2465,115900,87918,70689,17229,24.4,2017-11-13
2464,115900,87731,70501,17230,24.4,2017-11-14
2463,115900,89682,71978,17704,24.6,2017-11-15
2462,115900,91217,72971,18246,25.0,2017-11-16
2461,115900,92398,74345,18053,24.3,2017-11-17
2460,115900,89274,64400,24874,38.6,2017-11-18
2459,115900,90095,61715,28380,46.0,2017-11-19
2458,115900,91442,76794,14648,19.1,2017-11-20
2457,115900,90278,77327,12951,16.7,2017-11-21
2456,115900,91187,77349,13838,17.9,2017-11-22
2455,116278,92783,77003,15780,20.5,2017-11-23
2454,116278,92807,77605,15202,19.6,2017-11-24
2453,116278,86553,65980,20573,31.2,2017-11-25
2452,116278,88497,61257,27240,44.5,2017-11-26
2451,116278,92492,76318,16174,21.2,2017-11-27
2450,116278,93583,76519,17064,22.3,2017-11-28
2449,116278,93866,74378,19488,26.2,2017-11-29
2448,116278,92483,77048,15435,20.0,2017-11-30
2447,116278,92783,77668,15115,19.5,2017-12-01
2446,116278,92906,66179,26727,40.4,2017-12-02
2445,116278,91700,61218,30482,49.8,2017-12-03
2444,116657,92064,79221,12843,16.2,2017-12-04
2443,116657,91914,80788,11126,13.8,2017-12-05
2442,116657,91812,80911,10901,13.5,2017-12-06
2441,116657,91572,80127,11445,14.3,2017-12-07
2440,116657,92551,81361,11190,13.8,2017-12-08
2439,116657,88449,68767,19682,28.6,2017-12-09
2438,116657,90784,64000,26784,41.9,2017-12-10
2437,116657,95498,83927,11571,13.8,2017-12-11
2436,116657,96095,85133,10962,12.9,2017-12-12
2435,116657,97418,84012,13406,16.0,2017-12-13
2434,116657,96778,84968,11810,13.9,2017-12-14
2433,116657,96407,84115,12292,14.6,2017-12-15
2432,116657,92603,70890,21713,30.6,2017-12-16
2431,116657,95078,66825,28253,42.3,2017-12-17
2430,116657,96581,84640,11941,14.1,2017-12-18
