date,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2019-07-01,KAU19,"28,150",50,0.18,"28,100","28,150","28,100","2,000","56,225,000","28,113"
2019-07-02,KAU19,"28,150",0,0,"28,150","28,150","28,150","1,500","42,225,000","28,150"
2019-07-03,KAU19,"28,100",-50,-0.18,"28,100","28,100","28,100","6,000","168,600,000","28,100"
2019-07-04,KAU19,"28,150",50,0.18,"28,150","28,150","28,150","1,500","42,225,000","28,150"
2019-07-05,KAU19,"28,150",0,0,"28,150","28,150","28,150","5,000","140,750,000","28,150"
2019-07-08,KAU19,"28,200",50,0.18,"28,200","28,200","28,200","3,000","84,600,000","28,200"
2019-07-09,KAU19,"28,200",0,0,"28,200","28,200","28,200","1,500","42,300,000","28,200"
2019-07-10,KAU19,"28,200",0,0,"28,200","28,200","28,200","2,000","56,400,000","28,200"
2019-07-11,KAU19,"28,200",0,0,"28,200","28,200","28,200","3,000","84,600,000","28,200"
2019-07-12,KAU19,"28,200",0,0,"28,200","28,200","28,200","4,000","112,800,000","28,200"
2019-07-15,KAU19,"28,200",0,0,"28,200","28,200","28,200","4,000","112,800,000","28,200"
2019-07-16,KAU19,"28,250",50,0.18,"28,250","28,300","28,250","13,000","367,500,000","28,269"
2019-07-17,KAU19,"28,300",50,0.18,"28,300","28,300","28,300","7,000","198,100,000","28,300"
2019-07-18,KAU19,"28,350",50,0.18,"28,350","28,350","28,350","1,500","42,525,000","28,350"
2019-07-19,KAU19,"28,400",50,0.18,"28,400","28,400","28,350","9,000","255,450,000","28,383"
2019-07-22,KAU19,"28,400",0,0,"28,450","28,450","28,400","9,500","269,950,000","28,416"
2019-07-23,KAU19,"28,400",0,0,"28,450","28,450","28,400","7,000","198,875,000","28,411"
2019-07-24,KAU19,"28,500",100,0.35,"28,450","28,550","28,450","8,500","242,100,000","28,482"
2019-07-25,KAU19,"28,500",0,0,"28,500","28,550","28,500","11,500","328,000,000","28,522"
2019-07-26,KAU19,"28,500",0,0,"28,500","28,500","28,500","5,000","142,500,000","28,500"
2019-07-29,KAU19,"28,550",50,0.18,"28,500","28,550","28,500","8,000","228,150,000","28,519"
2019-07-30,KAU19,"28,600",50,0.18,"28,600","28,600","28,600","15,000","429,000,000","28,600"
2019-07-31,KAU19,"28,550",-50,-0.17,"28,650","28,650","28,550","74,000","2,118,759,300","28,632"
2019-08-01,KAU19,"28,550",0,0,0,0,0,0,0,0
2019-08-02,KAU19,"28,600",50,0.18,"28,600","28,600","28,600","3,500","100,100,000","28,600"
2019-08-05,KAU19,"28,650",50,0.17,"28,650","28,650","28,650","3,500","100,275,000","28,650"
2019-08-06,KAU19,"28,700",50,0.17,"28,700","28,700","28,700","4,500","129,150,000","28,700"
2019-08-07,KAU19,"28,650",-50,-0.17,"28,700","28,700","28,650","3,500","100,300,000","28,657"
2019-08-08,KAU19,"28,700",50,0.17,"28,700","28,700","28,700","3,500","100,450,000","28,700"
2019-08-09,KAU19,"28,750",50,0.17,"28,750","28,750","28,750","3,500","100,625,000","28,750"
2019-08-12,KAU19,"29,000",250,0.87,"28,850","29,000","28,850","3,500","101,275,000","28,936"
2019-08-13,KAU19,"29,050",50,0.17,"29,050","29,050","29,050","1,500","43,575,000","29,050"
